Transaction_ID,Items_Bought
241,"Milk, Butter"
242,"Milk, Biscuits, Shampoo, Bread"
243,"Milk, Shampoo, Butter, Biscuits, Eggs"
244,"Biscuits, Eggs, Soap"
245,"Soap, Bread, Biscuits"
246,"Soap, Rice, Biscuits"
247,"Eggs, Bread, Shampoo, Butter"
248,"Milk, Rice, Butter, Soap, Biscuits"
249,"Milk, Eggs, Butter, Shampoo"
250,"Soap, Milk, Biscuits, Rice"
251,"Bread, Milk, Eggs"
252,"Shampoo, Soap, Eggs, Biscuits, Rice"
253,"Shampoo, Butter"
254,"Bread, Rice, Eggs, Biscuits, Soap"
255,"Butter, Eggs, Biscuits, Milk, Shampoo"
256,"Eggs, Biscuits, Butter, Milk"
257,"Rice, Biscuits, Eggs, Milk, Bread"
258,"Bread, Milk, Shampoo, Soap"
259,"Rice, Milk, Shampoo"
260,"Biscuits, Milk, Butter, Rice, Eggs"
261,"Milk, Soap"
262,"Biscuits, Milk, Shampoo, Rice"
263,"Biscuits, Eggs, Shampoo"
264,"Bread, Milk, Butter, Rice"
265,"Butter, Rice, Biscuits, Milk, Soap"
266,"Eggs, Soap"
267,"Biscuits, Milk, Eggs, Bread, Shampoo"
268,"Biscuits, Rice, Milk, Bread, Butter"
269,"Shampoo, Soap, Milk, Eggs, Biscuits"
270,"Rice, Bread, Butter, Milk, Biscuits"
271,"Soap, Rice"
272,"Butter, Biscuits, Milk, Shampoo"
273,"Eggs, Soap, Biscuits, Shampoo, Butter"
274,"Rice, Shampoo"
275,"Shampoo, Soap"
276,"Soap, Bread, Rice, Butter, Biscuits"
277,"Biscuits, Soap, Milk, Rice"
278,"Rice, Shampoo"
279,"Milk, Biscuits, Shampoo, Soap"
280,"Shampoo, Milk, Bread"
281,"Rice, Eggs, Milk, Shampoo"
282,"Shampoo, Eggs, Rice"
283,"Shampoo, Milk, Rice, Soap"
284,"Shampoo, Milk"
285,"Eggs, Bread, Biscuits"
286,"Eggs, Soap, Rice, Bread"
287,"Soap, Eggs"
288,"Butter, Soap, Shampoo, Eggs, Bread"
289,"Milk, Rice, Bread"
290,"Butter, Milk, Soap, Rice, Eggs"
291,"Rice, Milk"
292,"Rice, Milk, Soap, Biscuits, Shampoo"
293,"Bread, Butter, Milk, Soap"
294,"Eggs, Shampoo"
295,"Rice, Bread"
296,"Soap, Milk, Rice, Biscuits"
297,"Bread, Milk, Soap"
298,"Rice, Milk"
299,"Eggs, Bread, Shampoo"
300,"Milk, Soap, Shampoo, Biscuits"
301,"Bread, Eggs"
302,"Milk, Rice, Soap, Shampoo, Eggs"
303,"Biscuits, Shampoo, Bread, Butter, Soap"
304,"Eggs, Soap, Milk"
305,"Shampoo, Eggs, Milk, Butter"
306,"Biscuits, Shampoo, Butter, Bread, Eggs"
307,"Bread, Milk"
308,"Rice, Bread, Shampoo"
309,"Milk, Rice"
310,"Shampoo, Rice, Butter"
311,"Butter, Biscuits, Bread, Rice"
312,"Soap, Bread, Shampoo"
313,"Rice, Butter"
314,"Soap, Butter"
315,"Biscuits, Rice, Butter, Eggs, Soap"
316,"Eggs, Milk, Rice"
317,"Soap, Eggs, Shampoo"
318,"Shampoo, Soap, Bread, Eggs"
319,"Milk, Biscuits, Soap"
320,"Rice, Eggs"
321,"Eggs, Bread"
322,"Rice, Eggs"
323,"Eggs, Shampoo, Milk, Biscuits, Bread"
324,"Milk, Eggs, Biscuits"
325,"Biscuits, Bread, Milk"
326,"Butter, Biscuits, Shampoo, Eggs, Bread"
327,"Bread, Butter"
328,"Biscuits, Rice, Bread"
329,"Soap, Butter, Milk"
330,"Soap, Shampoo, Biscuits, Rice"
331,"Butter, Rice, Biscuits, Eggs"
332,"Soap, Rice, Butter"
333,"Milk, Rice, Soap, Biscuits"
334,"Bread, Biscuits, Shampoo, Rice"
335,"Milk, Soap, Biscuits"
336,"Shampoo, Bread, Rice, Biscuits, Butter"
337,"Rice, Eggs, Biscuits"
338,"Milk, Rice, Biscuits, Eggs, Bread"
339,"Soap, Bread"
340,"Biscuits, Butter, Soap, Bread"
341,"Eggs, Bread, Rice, Milk, Shampoo"
342,"Rice, Bread, Shampoo, Soap"
343,"Soap, Bread, Milk, Shampoo"
344,"Bread, Soap, Butter, Rice, Eggs"
345,"Biscuits, Bread, Butter, Shampoo, Rice"
346,"Bread, Butter, Soap, Shampoo, Rice"
347,"Shampoo, Biscuits, Eggs, Bread, Milk"
348,"Rice, Shampoo, Butter, Bread, Biscuits"
349,"Milk, Soap, Bread, Shampoo, Butter"
350,"Butter, Rice"
351,"Shampoo, Eggs, Biscuits"
352,"Eggs, Milk, Butter"
353,"Shampoo, Milk, Biscuits, Rice, Eggs"
354,"Bread, Biscuits"
355,"Milk, Bread, Rice, Shampoo, Biscuits"
356,"Soap, Milk, Butter, Biscuits, Eggs"
357,"Eggs, Biscuits"
358,"Butter, Soap, Shampoo, Bread, Eggs"
359,"Biscuits, Butter, Bread"
360,"Rice, Milk, Eggs, Butter, Biscuits"
361,"Shampoo, Soap"
362,"Milk, Rice, Bread, Biscuits, Shampoo"
363,"Shampoo, Soap, Butter, Eggs"
364,"Biscuits, Eggs, Milk"
365,"Shampoo, Eggs, Bread, Rice"
366,"Eggs, Bread"
367,"Butter, Eggs, Soap, Bread"
368,"Rice, Butter, Eggs"
369,"Shampoo, Butter, Eggs"
370,"Shampoo, Eggs, Bread, Butter"
371,"Biscuits, Soap, Milk, Shampoo, Butter"
372,"Bread, Eggs, Soap, Rice"
373,"Soap, Milk, Shampoo"
374,"Eggs, Soap, Milk, Butter, Bread"
375,"Soap, Butter"
376,"Eggs, Biscuits, Milk"
377,"Rice, Eggs, Butter, Soap, Shampoo"
378,"Bread, Eggs"
379,"Biscuits, Milk, Shampoo, Butter, Eggs"
380,"Milk, Bread"
381,"Bread, Butter, Eggs"
382,"Rice, Soap"
383,"Eggs, Shampoo"
384,"Milk, Biscuits, Eggs, Butter"
385,"Shampoo, Milk"
386,"Soap, Butter, Milk, Rice"
387,"Rice, Bread, Biscuits, Butter, Milk"
388,"Soap, Biscuits, Rice, Shampoo, Bread"
389,"Rice, Butter"
390,"Rice, Soap, Bread, Butter, Biscuits"
391,"Soap, Bread, Butter, Milk, Shampoo"
392,"Soap, Butter, Eggs, Rice"
393,"Shampoo, Rice, Soap, Milk, Eggs"
394,"Milk, Bread, Rice, Soap"
395,"Shampoo, Eggs, Butter"
396,"Soap, Butter"
397,"Rice, Milk, Bread, Eggs"
398,"Bread, Rice, Eggs, Butter"
399,"Bread, Milk, Eggs, Shampoo, Biscuits"
400,"Milk, Rice, Bread, Eggs, Biscuits"
